make,model,price,year,kilometers,kilowatts,engine_type,created_at
renault,clio,290.00,2001,83330,43,petrol,2020-04-18
renault,clio,290.00,2000,240000,72,petrol,2020-06-10
renault,clio,290.00,2002,152000,55,petrol,2020-06-23
renault,clio,290.00,2004,197000,48,diesel,2020-08-21
renault,clio,290.00,2000,223800,43,petrol,2020-05-24
renault,clio,290.00,2000,200000,43,petrol,2020-06-26
renault,clio,290.00,2001,126000,55,petrol,2020-06-02
renault,clio,290.00,2002,224601,55,petrol,2020-05-17
renault,clio,299.00,2001,130000,55,petrol,2020-09-22
renault,clio,299.00,2004,190000,60,diesel,2020-06-15
renault,clio,299.00,2002,298471,43,petrol,2020-08-06
renault,clio,299.00,1999,11800,43,petrol,2020-05-17
renault,clio,299.00,1999,250000,43,petrol,2020-08-20
renault,clio,299.00,2002,190000,43,petrol,2020-06-16
renault,clio,299.00,1999,11800,43,petrol,2020-05-17
renault,clio,300.00,2003,167000,72,petrol,2020-06-07
renault,clio,300.00,2001,170000,55,petrol,2020-09-06
renault,clio,300.00,2000,150000,43,petrol,2020-07-22
renault,clio,300.00,2000,266871,43,petrol,2020-04-18
renault,clio,300.00,2002,255000,48,diesel,2020-07-11
renault,clio,300.00,1999,196500,55,petrol,2020-07-15
renault,clio,300.00,2000,146000,43,petrol,2020-08-16
renault,clio,300.00,2004,265000,48,diesel,2020-08-15
renault,clio,300.00,1999,138488,43,petrol,2020-07-25
renault,clio,300.00,2003,82,60,diesel,2020-06-01
renault,clio,300.00,2001,200000,43,petrol,2020-07-27
renault,clio,300.00,2002,150632,43,petrol,2020-08-09
renault,clio,300.00,2006,150000,55,petrol,2020-07-24
renault,clio,300.00,1999,264680,43,petrol,2020-08-18
renault,clio,300.00,2003,200000,55,petrol,2020-08-18
renault,clio,300.00,2003,28000,16,petrol,2020-04-28
renault,clio,300.00,2001,160000,43,petrol,2020-04-25
renault,clio,300.00,1999,270000,43,petrol,2020-09-20
renault,clio,300.00,2000,180000,43,petrol,2020-05-07
renault,clio,300.00,2003,270000,60,diesel,2020-09-12
renault,clio,300.00,2003,255725,60,diesel,2020-09-30
renault,clio,300.00,2003,167000,72,petrol,2020-06-06
renault,clio,300.00,2001,150000,55,petrol,2020-09-20
renault,clio,300.00,2001,175000,72,petrol,2020-09-28
renault,clio,300.00,2000,170000,43,petrol,2020-09-26
renault,clio,300.00,2000,201000,43,petrol,2020-09-26
renault,clio,300.00,1999,200000,40,petrol,2020-05-26
renault,clio,300.00,2000,183000,43,petrol,2020-05-31
